BackUpBlock,BackUpBlockErrors,EndSessionOnHitCriterion,HitCriterion,ID,MaxBlockRepetition,MaxBlockRepetitionInSession,NextBlockOnHitCriterion,Reinforcement
0,0,0,0,192,0,0,0,100
192,2,0,0,193,0,0,0,100
193,2,0,0,194,0,0,0,100
194,2,0,0,195,0,0,0,100
195,1,0,0,196,0,0,0,100
197,1,0,100,197,3,0,198,100
197,1,0,100,198,0,3,199,100
199,1,0,100,199,3,0,200,33
199,1,0,100,200,0,3,201,33
201,0,0,100,201,3,0,202,0
202,0,0,100,202,3,0,203,0
203,0,0,100,203,3,0,204,0
204,0,0,100,204,3,0,205,0
0,0,0,0,205,0,0,0,0
