ID,Name,BackUpBlock,BackUpBlockErrors,MaxBlockRepetition,MaxBlockRepetitionInSession,EndSessionOnHitCriterion,NextBlockOnHitCriterion,HitCriterion,Reinforcement
1,Training-AC-cumulative,1,1,3,0,0,2,100,100
2,Training-AC-intermitent-reinforcement,1,1,0,3,0,3,100,33
