ID,Name,EndSessionOnCriterion,EndSessionOnNotCriterionAfterBlockRepetitions,RepeatStyle,EndCriterionStyle,EndCriterionEvaluationTime,MaxBlockRepetitionConsecutives,MaxBlockRepetitionInSession,NextBlockOnCriterion,NextBlockOnNotCriterion,EndCriterionValue,Reinforcement
1,Training-AC-cumulative,False,True,Consecutive,HitPorcentage,OnBlockEnd,3,,2,1,83,100
2,Training-AC-intermitent-reinforcement,True,True,Global,HitPorcentage,OnBlockEnd,,3,3,1,100,33
