ID,Name,Trials,Relation,Samples,Comparisons,Distance,DragableAnimation,GridSize,Orientation,AutoAnimateOnStart,StimuliFolder,ReferenceName
1,T1,1,B-C,1,1,0,OnResponse,2,None,F,,
2,T2,1,A-B,1,1,80,OnResponse,2,None,F,,
