ID,Name,EndSessionOnCriterion,EndSessionOnNotCriterionAfterBlockRepetitions,RepeatStyle,EndCriterionStyle,EndCriterionEvaluationTime,MaxBlockRepetitionConsecutives,MaxBlockRepetitionInSession,NextBlockOnCriterion,NextBlockOnNotCriterion,EndCriterionValue,Reinforcement
1,Block 2 – rime pos-test,False,False,None,HitPorcentage,OnBlockEnd,0,0,-1,-1,100,0
2,Block 1 – onset pos-test,False,False,None,HitPorcentage,OnBlockEnd,0,0,-1,-1,100,0
3,Block 4 – vowel pos-test,False,False,None,HitPorcentage,OnBlockEnd,0,0,-1,-1,100,0
4,Block 3 – coda pos-test,False,False,None,HitPorcentage,OnBlockEnd,0,0,-1,-1,100,0
