ID,Name,EndSessionOnCriterion,EndSessionOnNotCriterionAfterBlockRepetitions,RepeatStyle,EndCriterionStyle,EndCriterionEvaluationTime,MaxBlockRepetitionConsecutives,MaxBlockRepetitionInSession,NextBlockOnCriterion,NextBlockOnNotCriterion,EndCriterionValue,Reinforcement
1,Block 1 – onset pre-test,False,False,None,HitPorcentage,OnBlockEnd,0,0,-1,-1,100,0
2,Block 2 – rime pre-test,False,False,None,HitPorcentage,OnBlockEnd,0,0,-1,-1,100,0
3,Block 3 – coda pre-test,False,False,None,HitPorcentage,OnBlockEnd,0,0,-1,-1,100,0
4,Block 4 – vowel pre-test,False,False,None,HitPorcentage,OnBlockEnd,0,0,-1,-1,100,0
