ID,Name,BackUpBlock,BackUpBlockErrors,MaxBlockRepetition,MaxBlockRepetitionInSession,EndSessionOnHitCriterion,NextBlockOnHitCriterion,HitCriterion,Reinforcement
84,Block 84 - coda pre-training,0,0,0,0,0,0,83,100
85,Block 85 - coda pre-training,0,0,0,0,0,88,83,100
86,Block 86 - coda pre-training,0,0,0,0,0,0,83,100
87,Block 87 - coda pre-training,0,0,0,0,0,0,83,100
88,Block 88 - coda pre-training,0,0,0,0,0,91,83,100
89,Block 89 - coda pre-training,0,0,0,0,0,0,83,100
90,Block 90 - coda pre-training,0,0,0,0,0,0,83,100
91,Block 91 - coda pre-training,0,0,0,0,0,94,83,100
92,Block 92 - coda pre-training,0,0,0,0,0,0,83,100
93,Block 93 - coda pre-training,0,0,0,0,0,0,83,100
94,Block 94 - coda pre-training,0,0,0,0,0,97,83,100
95,Block 95 - coda pre-training,0,0,0,0,0,0,83,100
96,Block 96 - coda pre-training,0,0,0,0,0,0,83,100
97,Block 97 - coda pre-training,0,0,0,0,0,100,83,100
98,Block 98 - coda pre-training,0,0,0,0,0,0,83,100
99,Block 99 - coda pre-training,0,0,0,0,0,0,83,100
100,Block 100 - coda DAPA-AP,0,0,0,0,0,103,83,100
101,Block 101 - coda DAPA-AP,0,0,0,0,0,0,83,100
102,Block 102 - coda DAPA-AP,0,0,0,0,0,0,83,100
103,Block 103 - coda DAPA-AP,0,0,0,0,0,106,83,100
104,Block 104 - coda DAPA-AP,0,0,0,0,0,0,83,100
105,Block 105 - coda DAPA-AP,0,0,0,0,0,0,83,100
106,Block 106 - coda DAPA-AP,0,0,0,0,0,109,83,100
107,Block 107 - coda DAPA-AP,0,0,0,0,0,0,83,100
108,Block 108 - coda DAPA-AP,0,0,0,0,0,0,83,100
109,Block 109 - coda DAPA-AP,0,0,0,0,0,112,83,100
110,Block 110 - coda DAPA-AP,0,0,0,0,0,0,83,100
111,Block 111 - coda DAPA-AP,0,0,0,0,0,0,83,100
112,Block 112 - coda DAPA-AP,0,0,0,0,0,115,83,100
113,Block 113 - coda DAPA-AP,0,0,0,0,0,0,83,100
114,Block 114 - coda DAPA-AP,0,0,0,0,0,0,83,100
115,Block 115 - coda DAPA-AP,0,0,0,0,0,118,83,100
116,Block 116 - coda DAPA-AP,0,0,0,0,0,0,83,100
117,Block 117 - coda DAPA-AP,0,0,0,0,0,0,83,100
118,Block 118 - coda DAPA-AP,0,0,0,0,0,121,83,100
119,Block 119 - coda DAPA-AP,0,0,0,0,0,0,83,100
120,Block 120 - coda DAPA-AP,0,0,0,0,0,0,83,100
121,Block 121 - coda DAPA-AP,0,0,0,0,0,124,83,100
122,Block 122 - coda DAPA-AP,0,0,0,0,0,0,83,100
123,Block 123 - coda DAPA-AP,0,0,0,0,0,0,83,100
124,Block 124 - coda DAPA-AP,0,0,0,0,0,127,83,100
125,Block 125 - coda DAPA-AP,0,0,0,0,0,0,83,100
126,Block 126 - coda DAPA-AP,0,0,0,0,0,0,83,100
127,Block 127 - vowel pre-training,0,0,0,0,0,130,83,100
128,Block 128 - vowel pre-training,0,0,0,0,0,0,83,100
129,Block 129 - vowel pre-training,0,0,0,0,0,0,83,100
130,Block 130 - vowel pre-training,0,0,0,0,0,133,83,100
131,Block 131 - vowel pre-training,0,0,0,0,0,0,83,100
132,Block 132 - vowel pre-training,0,0,0,0,0,0,83,100
133,Block 133 - vowel pre-training,0,0,0,0,0,136,83,100
134,Block 134 - vowel pre-training,0,0,0,0,0,0,83,100
135,Block 135 - vowel pre-training,0,0,0,0,0,0,83,100
136,Block 136 - vowel pre-training,0,0,0,0,0,139,83,100
137,Block 137 - vowel pre-training,0,0,0,0,0,0,83,100
138,Block 138 - vowel pre-training,0,0,0,0,0,0,83,100
139,Block 139 - vowel pre-training,0,0,0,0,0,142,83,100
140,Block 140 - vowel pre-training,0,0,0,0,0,0,83,100
141,Block 141 - vowel pre-training,0,0,0,0,0,0,83,100
142,Block 142 - vowel pre-training,0,0,0,0,0,145,83,100
143,Block 143 - vowel pre-training,0,0,0,0,0,0,83,100
144,Block 144 - vowel pre-training,0,0,0,0,0,0,83,100
145,Block 145 - vowel DAPA-AP,0,0,0,0,0,148,83,100
146,Block 146 - vowel DAPA-AP,0,0,0,0,0,0,83,100
147,Block 147 - vowel DAPA-AP,0,0,0,0,0,0,83,100
148,Block 148 - vowel DAPA-AP,0,0,0,0,0,151,83,100
149,Block 149 - vowel DAPA-AP,0,0,0,0,0,0,83,100
150,Block 150 - vowel DAPA-AP,0,0,0,0,0,0,83,100
151,Block 151 - vowel DAPA-AP,0,0,0,0,0,154,83,100
152,Block 152 - vowel DAPA-AP,0,0,0,0,0,0,83,100
153,Block 153 - vowel DAPA-AP,0,0,0,0,0,0,83,100
154,Block 154 - vowel DAPA-AP,0,0,0,0,0,157,83,100
155,Block 155 - vowel DAPA-AP,0,0,0,0,0,0,83,100
156,Block 156 - vowel DAPA-AP,0,0,0,0,0,0,83,100
157,Block 157 - vowel DAPA-AP,0,0,0,0,0,160,83,100
158,Block 158 - vowel DAPA-AP,0,0,0,0,0,0,83,100
159,Block 159 - vowel DAPA-AP,0,0,0,0,0,0,83,100
160,Block 160 - vowel DAPA-AP,0,0,0,0,T,0,83,100
161,Block 161 - vowel DAPA-AP,0,0,0,0,0,0,83,100
162,Block 162 - vowel DAPA-AP,0,0,0,0,0,0,83,100
